Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt,Floor_Ratio,Location_Encoded
Gachibowli,1277.8,2,2,3.0,7,0,2,12146659.0,9505.9,0.0,5
Madhapur,1314.1,2,2,2.0,0,6,10,11066412.0,8421.3,0.6,12
Financial District,1703.6,3,3,1.0,25,5,5,13094975.0,7686.6,1.0,4
Bowenpally,1811.5,3,4,1.0,5,11,14,10092814.0,5571.5,0.786,3
Gachibowli,1044.7,2,2,1.0,1,15,15,8279866.0,7925.6,1.0,5
Madhapur,1636.9,3,3,0.0,2,4,11,12352041.0,7546.0,0.364,12
Manikonda,3586.4,5,5,2.0,10,7,12,20927435.0,5835.2,0.583,13
Madhapur,1229.6,2,3,3.0,1,10,25,10656699.0,8666.8,0.4,12
Nallagandla,1242.2,2,3,0.0,10,8,12,7699389.0,6198.2,0.667,15
Gachibowli,1106.0,2,3,2.0,5,0,5,9179394.0,8299.6,0.0,5
Nizampet,1550.8,3,4,2.0,7,2,2,9149405.0,5899.8,1.0,16
Begumpet,1410.3,3,3,0.0,2,2,8,9232682.0,6546.6,0.25,2
Madhapur,1891.9,4,4,2.0,7,6,21,16571222.0,8759.0,0.286,12
Gachibowli,2586.4,4,4,2.0,1,14,25,22388300.0,8656.2,0.56,5
Tellapur,1254.5,2,3,1.0,7,1,5,7722297.0,6155.7,0.2,18
Kukatpally,1416.8,3,3,1.0,7,7,14,7989979.0,5639.5,0.5,10
Shaikpet,1671.7,3,4,2.0,7,0,11,11902803.0,7120.2,0.0,17
Nallagandla,1175.4,2,3,1.0,1,13,22,8101261.0,6892.3,0.591,15
Hitech City,1500.3,2,2,0.0,2,20,21,14561433.0,9705.7,0.952,6
Nallagandla,1295.1,2,3,1.0,5,10,18,8412890.0,6495.9,0.556,15
Miyapur,2430.2,4,4,0.0,2,5,12,12037381.0,4953.2,0.417,14
Shaikpet,1596.8,3,3,3.0,5,0,2,10196778.0,6385.8,0.0,17
Uppal,1134.2,2,2,0.0,5,2,9,4952707.0,4366.7,0.222,19
Shaikpet,1182.4,2,2,1.0,5,3,20,9042076.0,7647.2,0.15,17
Jubilee Hills,1165.1,2,2,2.0,5,2,2,16490265.0,14153.5,1.0,7
Shaikpet,2637.3,4,4,1.0,5,5,9,15032894.0,5700.1,0.556,17
Begumpet,1678.4,3,4,2.0,25,13,25,11542599.0,6877.1,0.52,2
Kukatpally,2549.8,5,5,1.0,10,18,22,14042494.0,5507.3,0.818,10
Ameerpet,919.6,2,3,2.0,3,1,11,6644776.0,7225.7,0.091,0
Financial District,1799.8,3,3,1.0,3,2,13,15403213.0,8558.3,0.154,4
LB Nagar,3063.7,5,5,3.0,5,17,18,14216519.0,4640.3,0.944,11
Uppal,1822.2,3,3,1.0,7,3,15,8539510.0,4686.4,0.2,19
Nizampet,1838.1,3,3,2.0,5,0,3,9996845.0,5438.7,0.0,16
Gachibowli,1557.1,3,3,1.0,20,2,7,11700759.0,7514.5,0.286,5
Tellapur,1136.4,2,2,2.0,3,15,15,9558623.0,8411.3,1.0,18
Banjara Hills,1102.0,2,3,1.0,3,3,9,15650616.0,14202.0,0.333,1
Bowenpally,1757.1,3,3,3.0,1,0,25,9559936.0,5440.7,0.0,3
Hitech City,1706.1,3,4,3.0,1,9,10,15761293.0,9238.2,0.9,6
Banjara Hills,1174.8,2,2,2.0,3,2,8,16146745.0,13744.3,0.25,1
Financial District,726.9,1,2,2.0,7,14,18,6802527.0,9358.3,0.778,4
Miyapur,1725.3,3,4,2.0,7,7,7,9716931.0,5632.0,1.0,14
Shaikpet,1735.1,3,3,1.0,20,14,15,10935592.0,6302.6,0.933,17
Kondapur,1144.5,2,3,2.0,2,6,11,9127301.0,7974.9,0.545,9
Bowenpally,1828.6,3,3,2.0,5,22,24,8522577.0,4660.7,0.917,3
Miyapur,1684.7,3,4,2.0,5,9,14,10544996.0,6259.3,0.643,14
Miyapur,1248.4,2,3,3.0,3,11,18,7356770.0,5893.0,0.611,14
Ameerpet,1835.8,4,5,1.0,1,7,15,10602576.0,5775.5,0.467,0
Shaikpet,883.2,2,3,1.0,20,2,6,4803982.0,5439.3,0.333,17
Tellapur,2622.1,4,4,1.0,1,0,10,19990366.0,7623.8,0.0,18
Financial District,2442.2,4,4,1.0,5,9,18,25231795.0,10331.6,0.5,4
Financial District,1485.2,3,4,1.0,2,8,16,15143503.0,10196.3,0.5,4
Hitech City,1528.7,3,4,3.0,15,7,10,12431591.0,8132.1,0.7,6
Gachibowli,1458.8,3,3,2.0,0,5,19,12198497.0,8362.0,0.263,5
Gachibowli,1078.6,2,3,1.0,5,2,20,9218798.0,8547.0,0.1,5
Tellapur,1325.4,3,4,2.0,7,2,2,9137455.0,6894.1,1.0,18
Ameerpet,1749.5,3,4,1.0,10,4,8,11018918.0,6298.3,0.5,0
Kukatpally,3599.4,5,5,2.0,2,1,8,21743440.0,6040.9,0.125,10
Hitech City,1489.5,3,3,0.0,2,0,10,13986885.0,9390.3,0.0,6
Tellapur,1239.1,2,3,1.0,10,8,11,9549229.0,7706.6,0.727,18
Banjara Hills,1233.9,2,2,3.0,7,3,19,17427054.0,14123.6,0.158,1
Bowenpally,1603.7,3,3,0.0,15,15,15,8784299.0,5477.5,1.0,3
Begumpet,2985.4,5,6,0.0,0,6,7,23211332.0,7774.9,0.857,2
Begumpet,2268.8,4,5,1.0,15,10,16,14560810.0,6417.8,0.625,2
LB Nagar,2100.3,4,4,2.0,25,20,25,8198265.0,3903.4,0.8,11
Begumpet,980.6,2,2,3.0,3,6,7,8373016.0,8538.7,0.857,2
Banjara Hills,1160.2,2,2,2.0,5,8,9,15803523.0,13621.4,0.889,1
Bowenpally,1128.1,2,2,0.0,10,4,13,5039926.0,4467.6,0.308,3
Financial District,1376.1,2,2,1.0,2,21,23,15218638.0,11059.3,0.913,4
Madhapur,1258.4,2,3,0.0,5,8,25,10501319.0,8345.0,0.32,12
Bowenpally,1105.4,2,2,1.0,3,1,9,5713133.0,5168.4,0.111,3
Jubilee Hills,1601.1,3,3,0.0,3,1,3,21576508.0,13476.1,0.333,7
Kondapur,1276.9,2,2,2.0,20,2,4,8261786.0,6470.2,0.5,9
Madhapur,1942.2,3,3,3.0,20,14,21,16089937.0,8284.4,0.667,12
Kondapur,2076.9,3,4,1.0,0,10,11,17492165.0,8422.2,0.909,9
Shaikpet,599.2,1,2,1.0,25,4,5,3275860.0,5467.1,0.8,17
Tellapur,2144.6,4,4,0.0,7,0,6,13687828.0,6382.5,0.0,18
Financial District,961.0,2,2,1.0,15,4,18,7988769.0,8313.0,0.222,4
Hitech City,1655.7,3,3,1.0,5,1,22,16169566.0,9766.0,0.045,6
Hitech City,2252.4,4,4,1.0,20,2,13,18521700.0,8223.1,0.154,6
Nizampet,1553.1,3,4,1.0,7,11,11,8811662.0,5673.6,1.0,16
Kompally,3324.3,5,5,1.0,15,13,16,15252566.0,4588.2,0.812,8
Kondapur,990.5,2,2,3.0,2,4,6,7497388.0,7569.3,0.667,9
Jubilee Hills,1341.9,3,3,1.0,5,11,11,19714270.0,14691.3,1.0,7
Nallagandla,1778.5,3,4,1.0,1,4,12,10822797.0,6085.4,0.333,15
Begumpet,1890.5,3,4,1.0,15,10,13,13297416.0,7033.8,0.769,2
LB Nagar,1156.7,2,3,0.0,1,4,7,4743427.0,4100.8,0.571,11
Gachibowli,1386.8,2,2,1.0,7,0,3,11904645.0,8584.3,0.0,5
Shaikpet,2606.9,5,5,1.0,5,12,24,18689311.0,7169.2,0.5,17
LB Nagar,1771.3,3,4,0.0,7,4,7,6726582.0,3797.5,0.571,11
Begumpet,1270.1,2,3,2.0,5,7,18,10072775.0,7930.7,0.389,2
Begumpet,1868.9,3,3,2.0,3,0,6,15261542.0,8166.1,0.0,2
Kondapur,564.5,1,1,2.0,3,0,2,3673929.0,6508.3,0.0,9
Bowenpally,1658.3,3,3,1.0,10,2,10,7921095.0,4776.6,0.2,3
Tellapur,1560.1,3,3,1.0,3,6,6,10494446.0,6726.8,1.0,18
Miyapur,1852.4,3,4,2.0,5,22,22,9135385.0,4931.6,1.0,14
Kukatpally,709.2,1,1,2.0,0,12,22,4615365.0,6507.8,0.545,10
Uppal,916.4,2,2,1.0,10,1,4,3824179.0,4173.0,0.25,19
Hitech City,1712.6,3,4,1.0,1,9,13,16249940.0,9488.5,0.692,6
Kondapur,1530.9,3,3,1.0,25,5,5,9150777.0,5977.4,1.0,9
Kondapur,2431.7,4,4,0.0,7,21,22,14688953.0,6040.6,0.955,9
Nallagandla,2007.6,4,4,2.0,10,4,18,12949415.0,6450.2,0.222,15
Hitech City,1109.3,2,3,0.0,7,2,2,10350226.0,9330.4,1.0,6
Shaikpet,1219.4,2,2,1.0,1,6,6,8257862.0,6772.1,1.0,17
Financial District,1345.7,3,3,1.0,5,3,3,12690202.0,9430.2,1.0,4
Financial District,1527.7,3,3,2.0,0,13,25,17461036.0,11429.6,0.52,4
Uppal,1784.9,3,4,1.0,7,2,5,7624141.0,4271.5,0.4,19
Nallagandla,1060.4,2,2,1.0,0,3,6,6396600.0,6032.3,0.5,15
Tellapur,2427.7,4,4,1.0,7,11,24,18661971.0,7687.1,0.458,18
Banjara Hills,1148.3,2,2,1.0,0,4,6,16446950.0,14322.9,0.667,1
Begumpet,1023.7,2,2,2.0,3,7,13,8013259.0,7827.7,0.538,2
LB Nagar,1469.2,3,4,0.0,10,11,25,5906184.0,4020.0,0.44,11
Madhapur,1055.9,2,2,1.0,2,2,2,7936528.0,7516.4,1.0,12
Financial District,1447.5,2,2,2.0,5,4,23,12650893.0,8739.8,0.174,4
LB Nagar,1089.5,2,3,2.0,10,6,17,4952405.0,4545.6,0.353,11
LB Nagar,2180.2,4,5,1.0,20,0,3,7765592.0,3561.9,0.0,11
Nizampet,1220.1,2,2,1.0,5,5,19,6424510.0,5265.6,0.263,16
Kukatpally,1458.6,3,3,2.0,3,1,3,9054918.0,6208.0,0.333,10
Kukatpally,1353.8,3,3,1.0,0,2,15,8823862.0,6517.8,0.133,10
Kondapur,1653.1,3,4,2.0,7,19,21,11694541.0,7074.3,0.905,9
Hitech City,1443.3,3,4,1.0,1,5,8,13016576.0,9018.6,0.625,6
Kompally,1207.7,2,2,1.0,3,6,7,5939407.0,4917.9,0.857,8
Manikonda,1740.6,3,3,2.0,7,17,22,10062098.0,5780.8,0.773,13
Gachibowli,2818.3,5,5,1.0,15,20,24,22418002.0,7954.4,0.833,5
Hitech City,2502.1,4,5,1.0,15,4,11,18959123.0,7577.3,0.364,6
Manikonda,2615.3,4,4,1.0,15,4,9,13346712.0,5103.3,0.444,13
Kukatpally,1462.2,3,3,2.0,3,2,14,7548785.0,5162.6,0.143,10
Gachibowli,2048.7,3,3,0.0,7,2,14,16737729.0,8169.9,0.143,5
Financial District,544.9,1,1,2.0,7,10,20,4831878.0,8867.5,0.5,4
Gachibowli,1492.0,3,3,2.0,10,8,9,11895745.0,7973.0,0.889,5
Nallagandla,1105.5,2,3,2.0,7,17,24,7227263.0,6537.6,0.708,15
Manikonda,2701.8,4,5,2.0,7,9,12,19355419.0,7163.9,0.75,13
Begumpet,1035.6,2,2,1.0,3,19,19,8271056.0,7986.7,1.0,2
LB Nagar,1179.0,2,3,1.0,10,6,24,4797426.0,4069.1,0.25,11
Bowenpally,1443.8,2,2,3.0,10,6,15,7747473.0,5366.0,0.4,3
Miyapur,737.7,1,1,1.0,10,0,3,3576910.0,4848.7,0.0,14
Begumpet,1148.2,2,2,1.0,3,4,6,8850862.0,7708.5,0.667,2
Jubilee Hills,1762.0,3,4,2.0,7,6,6,21997404.0,12484.3,1.0,7
Tellapur,1608.6,3,4,1.0,5,6,15,10367193.0,6444.9,0.4,18
Banjara Hills,1188.4,2,2,2.0,0,13,18,19699456.0,16576.5,0.722,1
Kompally,1803.2,3,4,2.0,5,4,20,9828109.0,5450.4,0.2,8
Hitech City,1317.1,2,2,1.0,7,7,23,12066330.0,9161.3,0.304,6
Kondapur,531.0,1,2,0.0,5,4,5,4034591.0,7598.1,0.8,9
Kompally,1606.5,3,4,0.0,5,18,19,8048430.0,5009.9,0.947,8
Uppal,1870.9,3,4,2.0,5,12,17,8366009.0,4471.6,0.706,19
Hitech City,1028.9,2,2,0.0,10,10,16,9322772.0,9060.9,0.625,6
Nizampet,1141.3,2,2,2.0,25,6,12,5949711.0,5213.1,0.5,16
Nallagandla,3316.7,5,6,1.0,7,12,23,19442445.0,5862.0,0.522,15
Madhapur,1714.0,3,3,1.0,15,3,6,12423947.0,7248.5,0.5,12
Bowenpally,1681.0,3,4,0.0,20,0,4,7588200.0,4514.1,0.0,3
Hitech City,1720.2,3,3,2.0,7,4,5,13896788.0,8078.6,0.8,6
Miyapur,719.1,1,2,1.0,3,5,14,3846207.0,5348.6,0.357,14
Miyapur,1295.3,2,2,1.0,10,6,7,7599524.0,5867.0,0.857,14
Begumpet,669.3,1,1,3.0,0,7,13,5447989.0,8139.8,0.538,2
Kompally,1430.1,3,3,1.0,25,8,13,6259749.0,4377.1,0.615,8
Nallagandla,602.6,1,1,2.0,5,1,25,4325310.0,7177.7,0.04,15
Kukatpally,679.6,1,1,1.0,5,4,22,4525876.0,6659.6,0.182,10
Banjara Hills,1610.2,3,4,1.0,10,7,13,21730594.0,13495.6,0.538,1
Begumpet,1613.8,3,3,2.0,1,4,8,13556963.0,8400.6,0.5,2
LB Nagar,1807.5,3,3,1.0,7,13,21,8161015.0,4515.1,0.619,11
Nallagandla,1722.7,3,3,0.0,3,0,13,12143774.0,7049.3,0.0,15
Manikonda,1709.2,3,4,1.0,10,10,20,9752296.0,5705.8,0.5,13
Miyapur,1832.0,3,3,1.0,10,14,16,9439816.0,5152.7,0.875,14
Ameerpet,1538.4,4,4,1.0,7,2,14,10062859.0,6541.1,0.143,0
Shaikpet,1501.0,2,2,1.0,10,10,17,10140915.0,6756.1,0.588,17
Gachibowli,1504.3,3,4,2.0,5,0,17,12951927.0,8609.9,0.0,5
Nizampet,3641.1,5,5,2.0,3,4,24,21558344.0,5920.8,0.167,16
Financial District,1764.8,3,3,2.0,1,3,10,17520767.0,9927.9,0.3,4
Madhapur,1450.7,3,3,2.0,3,1,22,12947997.0,8925.3,0.045,12
Financial District,1851.8,4,4,0.0,7,3,4,16794647.0,9069.4,0.75,4
Banjara Hills,1372.9,2,3,1.0,3,3,6,18797501.0,13691.8,0.5,1
Kukatpally,2165.0,4,4,0.0,7,0,7,12517821.0,5781.9,0.0,10
LB Nagar,1079.7,2,3,2.0,5,6,7,4889118.0,4528.2,0.857,11
Financial District,1938.7,3,4,1.0,10,14,14,17747751.0,9154.5,1.0,4
Shaikpet,1574.9,3,3,1.0,3,2,4,9907000.0,6290.6,0.5,17
Kompally,1640.2,3,3,3.0,1,13,20,8645839.0,5271.2,0.65,8
Uppal,2532.8,4,5,1.0,5,24,24,12301969.0,4857.1,1.0,19
Uppal,2393.7,4,4,0.0,2,0,2,10120198.0,4227.8,0.0,19
Kompally,1441.4,3,4,0.0,20,1,9,5657275.0,3924.8,0.111,8
Nallagandla,1227.2,2,3,1.0,3,1,12,9285730.0,7566.6,0.083,15
Gachibowli,1141.3,2,3,1.0,0,0,4,8885623.0,7785.5,0.0,5
Nallagandla,1101.8,2,3,1.0,10,3,20,6646104.0,6032.0,0.15,15
Kondapur,1250.4,2,3,1.0,2,8,24,8825872.0,7058.4,0.333,9
Jubilee Hills,1275.1,2,2,0.0,7,2,9,17190909.0,13482.0,0.222,7
Manikonda,3115.4,5,5,1.0,2,16,25,17132897.0,5499.4,0.64,13
Nizampet,1709.0,3,3,1.0,3,10,11,9653532.0,5648.6,0.909,16
Nallagandla,1179.4,2,2,1.0,5,6,10,7076778.0,6000.3,0.6,15
Nizampet,1637.3,3,4,1.0,3,11,20,8598435.0,5251.6,0.55,16
Tellapur,2513.1,4,4,2.0,20,0,6,16370222.0,6514.0,0.0,18
Kompally,775.8,1,1,1.0,3,4,19,4135269.0,5330.3,0.211,8
Uppal,1832.1,3,3,1.0,10,2,3,7760102.0,4235.6,0.667,19
Nallagandla,1696.0,3,3,1.0,1,2,8,11809749.0,6963.3,0.25,15
LB Nagar,1691.6,3,4,3.0,15,2,10,7553423.0,4465.3,0.2,11
Kukatpally,1541.4,3,3,1.0,3,23,24,9751308.0,6326.3,0.958,10
Madhapur,2121.6,4,5,1.0,2,1,13,19821634.0,9342.8,0.077,12
Financial District,1946.2,3,3,2.0,0,3,23,19806980.0,10177.3,0.13,4
Jubilee Hills,1399.2,3,4,0.0,10,9,16,19547983.0,13970.8,0.562,7
Shaikpet,1538.7,3,3,1.0,7,1,6,10023767.0,6514.4,0.167,17
Ameerpet,1146.4,2,3,1.0,5,23,25,7646948.0,6670.4,0.92,0
Begumpet,1659.1,3,3,1.0,5,3,7,12081766.0,7282.1,0.429,2
Shaikpet,2270.4,4,4,1.0,5,0,6,15743009.0,6934.0,0.0,17
Bowenpally,1547.8,3,4,1.0,15,2,14,6976240.0,4507.2,0.143,3
Bowenpally,1429.3,3,4,1.0,1,2,25,7991295.0,5591.1,0.08,3
Nizampet,1149.0,3,4,2.0,7,25,25,6212274.0,5406.7,1.0,16
Uppal,1085.8,2,2,1.0,2,1,22,4857002.0,4473.2,0.045,19
Kukatpally,1074.7,2,3,1.0,0,19,25,6888264.0,6409.5,0.76,10
Nallagandla,2404.1,4,4,2.0,5,5,5,15419850.0,6414.0,1.0,15
Kukatpally,1067.8,2,2,1.0,5,20,20,7254004.0,6793.4,1.0,10
Kompally,2067.9,3,3,2.0,5,7,10,9387192.0,4539.5,0.7,8
LB Nagar,542.0,1,1,1.0,2,4,6,2484624.0,4584.2,0.667,11
Begumpet,2037.5,3,4,2.0,1,15,22,16137631.0,7920.3,0.682,2
Miyapur,2053.2,4,5,0.0,25,9,9,8687398.0,4231.2,1.0,14
Bowenpally,1316.9,2,2,0.0,20,0,10,5172487.0,3927.8,0.0,3
Hitech City,1605.9,3,4,1.0,7,2,7,13132904.0,8177.9,0.286,6
Financial District,1867.2,3,4,0.0,1,7,7,20111393.0,10770.9,1.0,4
Banjara Hills,763.5,1,2,0.0,0,7,14,11122046.0,14567.2,0.5,1
Begumpet,1111.5,2,2,1.0,2,6,23,9064429.0,8155.1,0.261,2
Kondapur,1160.9,2,3,1.0,7,16,23,8440029.0,7270.2,0.696,9
Manikonda,1521.5,3,4,1.0,7,20,21,9778491.0,6426.9,0.952,13
Begumpet,1421.2,3,4,1.0,5,1,15,10579966.0,7444.4,0.067,2
Shaikpet,2033.9,4,4,1.0,1,5,19,15293562.0,7519.3,0.263,17
Bowenpally,714.4,1,1,1.0,3,8,20,3539481.0,4954.5,0.4,3
Banjara Hills,1186.2,2,2,2.0,3,2,13,17077389.0,14396.7,0.154,1
Gachibowli,1160.8,2,3,2.0,7,10,16,9662617.0,8324.1,0.625,5
Nizampet,1059.2,2,3,3.0,2,18,21,5960885.0,5627.7,0.857,16
Uppal,1622.4,3,4,1.0,3,15,16,7472490.0,4605.8,0.938,19
Shaikpet,1593.3,3,3,1.0,7,8,10,10775181.0,6762.8,0.8,17
Madhapur,1595.9,3,4,1.0,2,7,25,13766058.0,8625.9,0.28,12
Kondapur,1169.1,2,2,1.0,0,2,12,8423790.0,7205.4,0.167,9
Nizampet,653.2,1,1,2.0,0,5,6,3315623.0,5076.0,0.833,16
Banjara Hills,632.2,1,1,1.0,5,19,23,8421233.0,13320.5,0.826,1
Kukatpally,2269.9,4,5,1.0,2,7,18,13578172.0,5981.8,0.389,10
Miyapur,1117.2,2,2,0.0,2,2,2,6127637.0,5484.8,1.0,14
Kondapur,1286.4,2,3,2.0,0,7,12,9029416.0,7019.1,0.583,9
Jubilee Hills,1465.0,3,3,2.0,7,1,3,19691228.0,13441.1,0.333,7
Nizampet,1512.4,3,4,3.0,10,17,21,8137806.0,5380.7,0.81,16
Kukatpally,3121.0,5,5,1.0,1,10,11,18978572.0,6080.9,0.909,10
Nizampet,1153.0,2,3,1.0,7,0,2,6069879.0,5264.4,0.0,16
Begumpet,2227.4,4,5,2.0,0,17,18,16003945.0,7185.0,0.944,2
Gachibowli,1315.6,3,4,1.0,20,4,15,9290832.0,7062.0,0.267,5
Madhapur,1125.1,2,2,1.0,0,4,7,10264156.0,9122.9,0.571,12
Tellapur,1090.8,2,3,1.0,20,11,17,6908471.0,6333.4,0.647,18
Kukatpally,1487.2,3,4,1.0,20,2,3,8392131.0,5642.9,0.667,10
Tellapur,1399.0,2,2,1.0,7,17,21,9430180.0,6740.7,0.81,18
Miyapur,552.5,1,1,2.0,10,4,23,3032514.0,5488.7,0.174,14
Financial District,2298.0,4,4,1.0,7,20,21,23065017.0,10037.0,0.952,4
Financial District,517.0,1,2,3.0,3,17,22,5137753.0,9937.6,0.773,4
Hitech City,2434.5,4,4,3.0,1,12,25,24442542.0,10040.1,0.48,6
Nallagandla,2608.5,5,5,1.0,10,12,20,18680431.0,7161.4,0.6,15
Kondapur,2689.5,4,4,1.0,1,8,9,18943958.0,7043.7,0.889,9
Ameerpet,1099.5,2,2,0.0,20,0,6,5999128.0,5456.2,0.0,0
Financial District,1274.1,2,2,2.0,5,12,18,13096103.0,10278.7,0.667,4
Gachibowli,1380.4,2,2,0.0,3,7,11,13914577.0,10080.1,0.636,5
Kondapur,1146.1,2,3,0.0,1,5,13,8328394.0,7266.7,0.385,9
