Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt
Kukatpally,3121.0,5,5,1.0,1,10,11,18978572.0,6080.9
Nizampet,1153.0,2,3,1.0,7,0,2,6069879.0,5264.6
Begumpet,2227.4,4,5,2.0,0,17,18,16003945.0,7185.0
Gachibowli,1315.6,3,4,1.0,20,4,15,9290832.0,7062.2
Madhapur,1125.1,2,2,1.0,0,4,7,10264156.0,9122.8
Tellapur,1090.8,2,3,1.0,20,11,17,6908471.0,6333.6
Kukatpally,1487.2,3,4,1.0,20,2,3,8392131.0,5643.1
Tellapur,1399.0,2,2,1.0,7,17,21,9430180.0,6740.7
Miyapur,552.5,1,1,2.0,10,4,23,3032514.0,5489.0
Financial District,2298.0,4,4,1.0,7,20,21,23065017.0,10036.9
Financial District,517.0,1,2,3.0,3,17,22,5137753.0,9937.0
Hitech City,2434.5,4,4,3.0,1,12,25,24442542.0,10040.2
Nallagandla,2608.5,5,5,1.0,10,12,20,18680431.0,7161.2
Kondapur,2689.5,4,4,1.0,1,8,9,18943958.0,7043.8
Ameerpet,1099.5,2,2,0.0,20,0,6,5999128.0,5456.4
Financial District,1274.1,2,2,2.0,5,12,18,13096103.0,10278.5
Gachibowli,1380.4,2,2,0.0,3,7,11,13914577.0,10080.4
Kondapur,1146.1,2,3,0.0,1,5,13,8328394.0,7266.6
Uppal,1781.9,3,3,1.0,2,13,17,8647434.0,4852.8
Ameerpet,2135.1,4,4,2.0,0,9,11,15981877.0,7485.4
Banjara Hills,2456.9,4,4,1.0,7,14,21,34528421.0,14053.7
Gachibowli,1425.4,2,2,3.0,15,6,9,13567304.0,9518.2
Madhapur,2600.1,4,5,1.0,10,5,10,21409650.0,8234.0
Madhapur,1796.0,3,3,1.0,2,3,16,16062570.0,8943.5
Hitech City,1141.7,2,2,2.0,10,0,2,10046679.0,8799.9
Tellapur,791.9,1,2,1.0,10,2,4,5092917.0,6431.3
Miyapur,1175.8,2,3,1.0,2,18,23,6939883.0,5902.1
Gachibowli,683.2,1,2,3.0,7,15,21,5956894.0,8718.6
Tellapur,511.5,1,1,1.0,7,0,2,3427695.0,6701.9
Kompally,1505.7,3,3,1.0,7,1,3,6568367.0,4362.2
Begumpet,1072.9,2,3,2.0,7,17,21,8482997.0,7906.9
Manikonda,2292.5,4,5,1.0,5,4,10,13726250.0,5987.5
Shaikpet,1284.5,3,3,1.0,1,1,4,8343086.0,6495.4
Manikonda,1706.6,3,3,2.0,0,5,10,10084365.0,5909.2
LB Nagar,1946.7,3,3,0.0,25,9,16,7527380.0,3866.7
Nallagandla,1338.2,3,3,1.0,15,2,2,8272679.0,6182.2
Manikonda,1364.0,3,3,1.0,3,0,8,9216352.0,6756.9
Nallagandla,1628.3,3,4,1.0,7,5,17,10786032.0,6624.2
Bowenpally,1484.8,3,4,0.0,10,14,16,8170123.0,5502.5
Hitech City,1996.4,3,4,1.0,7,6,9,19069612.0,9551.9
Bowenpally,2279.5,4,4,0.0,20,12,12,10375554.0,4551.6
Shaikpet,1969.8,3,3,3.0,15,6,7,13370996.0,6788.1
Uppal,1831.5,3,3,1.0,2,7,15,8051748.0,4396.2
Uppal,1377.5,3,4,1.0,15,1,2,5459328.0,3963.1
Gachibowli,1604.3,3,4,1.0,7,3,9,14539025.0,9062.6
Shaikpet,1541.2,3,3,0.0,2,5,8,11093682.0,7198.1
Hitech City,1285.1,2,2,1.0,20,15,22,9541237.0,7424.6
Gachibowli,2523.3,4,4,2.0,0,11,13,24100581.0,9551.4
Manikonda,1382.5,3,4,2.0,2,4,24,8041555.0,5816.7
Hitech City,1370.8,3,3,1.0,20,2,7,9943921.0,7254.1
Nizampet,1722.8,3,4,2.0,15,0,4,8175317.0,4745.5
Nallagandla,1013.7,2,3,1.0,1,7,18,7113644.0,7017.6
Banjara Hills,1516.1,3,3,1.0,3,2,11,22689229.0,14965.6
Kompally,1304.4,2,2,1.0,2,6,8,7350165.0,5634.9
Begumpet,1048.3,2,3,1.0,5,0,16,7359234.0,7020.2
Jubilee Hills,1865.0,3,3,1.0,3,0,23,28768397.0,15425.3
Banjara Hills,660.4,1,1,3.0,3,25,25,10206240.0,15455.0
Bowenpally,1268.5,2,2,1.0,3,16,18,6769742.0,5337.0
Kukatpally,854.4,1,2,2.0,2,8,23,4940318.0,5782.1
Jubilee Hills,1597.2,3,3,1.0,5,18,20,24345069.0,15242.8
Banjara Hills,1105.0,2,2,1.0,0,1,17,15746249.0,14249.7
Tellapur,2534.2,4,5,0.0,7,1,14,13905190.0,5487.1
